name,youtube id,start time,duration
T,cGavOVNDj1s,0:02:12,0:00:03
U,cGavOVNDj1s,0:02:17,0:00:04
V,cGavOVNDj1s,0:02:23,0:00:03
W,cGavOVNDj1s,0:02:29,0:00:03
X,cGavOVNDj1s,0:02:34,0:00:03
Y,cGavOVNDj1s,0:02:39,0:00:03
Z,cGavOVNDj1s,0:02:47,0:00:03
Alyssa,,,
A,,,
B,,,
C,,,
D,,,
E,,,
F,,,
G,,,
H,,,
I,,,
J,,,
K,,,
L,,,
M,,,
N,,,
O,,,
P,,,
Q,,,
R,,,
S,,,
T,,,
U,,,
V,,,
W,,,
X,,,
Y,,,
Z,,,
Jay,,,
A,u3HoC9_ir3s,0:00:25,0:00:03
B,u3HoC9_ir3s,0:00:31,0:00:06
C,u3HoC9_ir3s,0:00:50,0:00:06
D,u3HoC9_ir3s,0:01:09,0:00:03
E,u3HoC9_ir3s,0:01:39,0:00:04
F,u3HoC9_ir3s,0:02:09,0:00:04
G,u3HoC9_ir3s,0:02:42,0:00:02
H,u3HoC9_ir3s,0:03:10,0:00:04
I,u3HoC9_ir3s,0:03:38,0:00:06
J,u3HoC9_ir3s,0:04:11,0:00:01
K,u3HoC9_ir3s,0:04:42,0:00:02
L,u3HoC9_ir3s,0:05:11,0:00:03
M,u3HoC9_ir3s,0:05:49,0:00:02
N,u3HoC9_ir3s,0:06:47,0:00:03
O,u3HoC9_ir3s,0:07:21,0:00:04
P,u3HoC9_ir3s,0:08:07,0:00:03
Q,u3HoC9_ir3s,0:09:12,0:00:04
R,u3HoC9_ir3s,0:09:59,0:00:01
S,u3HoC9_ir3s,0:11:02,0:00:04
T,u3HoC9_ir3s,0:11:59,0:00:03
U,u3HoC9_ir3s,0:12:51,0:00:06
V,u3HoC9_ir3s,0:13:48,0:00:03
W,u3HoC9_ir3s,0:14:45,0:00:03
X,u3HoC9_ir3s,0:16:06,0:00:01
Y,u3HoC9_ir3s,0:16:57,0:00:02
Z,u3HoC9_ir3s,0:18:08,0:00:03
Riley,,,
A,rjmKJKG5Nx0,0:00:24,0:00:04
B,rjmKJKG5Nx0,0:00:29,0:00:04
C,rjmKJKG5Nx0,0:00:35,0:00:04
D,rjmKJKG5Nx0,0:00:41,0:00:04
E,rjmKJKG5Nx0,0:00:46,0:00:04
F,rjmKJKG5Nx0,0:00:52,0:00:04
G,rjmKJKG5Nx0,0:00:58,0:00:04
H,rjmKJKG5Nx0,0:01:05,0:00:04
I,rjmKJKG5Nx0,0:01:23,0:00:03
J,rjmKJKG5Nx0,0:01:27,0:00:04
K,rjmKJKG5Nx0,0:01:33,0:00:04
L,rjmKJKG5Nx0,0:01:39,0:00:04
M,rjmKJKG5Nx0,0:01:45,0:00:04
N,rjmKJKG5Nx0,0:01:52,0:00:04
O,rjmKJKG5Nx0,0:01:58,0:00:04
P,rjmKJKG5Nx0,0:02:04,0:00:03
Q,rjmKJKG5Nx0,0:02:22,0:00:03
R,rjmKJKG5Nx0,0:02:26,0:00:04
S,rjmKJKG5Nx0,0:02:32,0:00:04
T,rjmKJKG5Nx0,0:02:37,0:00:05
U,rjmKJKG5Nx0,0:02:44,0:00:04
V,rjmKJKG5Nx0,0:02:49,0:00:04
W,rjmKJKG5Nx0,0:02:56,0:00:04
X,rjmKJKG5Nx0,0:03:02,0:00:04
Y,rjmKJKG5Nx0,0:03:08,0:00:04
Z,rjmKJKG5Nx0,0:03:14,0:00:04
